<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
ToseAtlasMofid.ETF,20180102,14191.00,14191.00,14191.00,14191.00,7081309,499,2,D,14249.00,14191.00
ToseAtlasMofid.ETF,20180101,14400.00,14400.00,14244.00,14249.00,32416644,2275,3,D,14366.00,14244.00
ToseAtlasMofid.ETF,20171231,14700.00,14703.00,14328.00,14366.00,60970757,4244,9,D,14698.00,14328.00
ToseAtlasMofid.ETF,20171230,14710.00,14710.00,14685.00,14698.00,35907345,2443,8,D,14464.00,14685.00
ToseAtlasMofid.ETF,20171226,14383.00,14690.00,14383.00,14464.00,81259440,5618,9,D,14376.00,14680.00
ToseAtlasMofid.ETF,20171225,14373.00,14380.00,14373.00,14376.00,66217888,4606,7,D,14349.00,14373.00
ToseAtlasMofid.ETF,20171224,14250.00,14365.00,14250.00,14349.00,21078260,1469,7,D,14255.00,14364.00
ToseAtlasMofid.ETF,20171223,14255.00,14255.00,14255.00,14255.00,35281125,2475,2,D,14144.00,14255.00
ToseAtlasMofid.ETF,20171219,14144.00,14144.00,14144.00,14144.00,2828800,200,1,D,14068.00,14144.00
ToseAtlasMofid.ETF,20171218,14068.00,14068.00,14068.00,14068.00,103821840,7380,2,D,14033.00,14068.00
ToseAtlasMofid.ETF,20171217,14001.00,14150.00,14001.00,14033.00,62896267,4482,4,D,13989.00,14150.00
ToseAtlasMofid.ETF,20171216,14000.00,14000.00,13985.00,13989.00,12449875,890,3,D,13742.00,13985.00
ToseAtlasMofid.ETF,20171213,13750.00,13860.00,13723.00,13742.00,159132700,11580,6,D,13508.00,13750.00
ToseAtlasMofid.ETF,20171212,13546.00,13546.00,13477.00,13508.00,322710730,23890,3,D,13549.00,13477.00
ToseAtlasMofid.ETF,20171211,13531.00,13600.00,13531.00,13549.00,7384400,545,2,D,13481.00,13600.00
ToseAtlasMofid.ETF,20171210,13497.00,13497.00,13429.00,13481.00,243005154,18026,4,D,13890.00,13430.00
ToseAtlasMofid.ETF,20171209,13890.00,13890.00,13890.00,13890.00,1083420,78,1,D,13865.00,13890.00
ToseAtlasMofid.ETF,20171205,13670.00,13918.00,13670.00,13865.00,156677763,11300,12,D,13423.00,13918.00
ToseAtlasMofid.ETF,20171204,13423.00,13423.00,13423.00,13423.00,12751850,950,10,D,13498.00,13423.00
ToseAtlasMofid.ETF,20171203,13587.00,13587.00,13466.00,13498.00,18964016,1405,3,D,13587.00,13466.00
ToseAtlasMofid.ETF,20171129,13420.00,13680.00,13420.00,13587.00,226498325,16670,17,D,13386.00,13645.00
ToseAtlasMofid.ETF,20171128,13386.00,13386.00,13386.00,13386.00,16598640,1240,4,D,13316.00,13386.00
ToseAtlasMofid.ETF,20171126,13315.00,13340.00,13315.00,13316.00,88908005,6677,4,D,13300.00,13315.00
ToseAtlasMofid.ETF,20171125,13300.00,13300.00,13300.00,13300.00,174363000,13110,9,D,13224.00,13300.00
ToseAtlasMofid.ETF,20171122,13230.00,13230.00,13163.00,13224.00,145463000,11000,10,D,13159.00,13163.00
ToseAtlasMofid.ETF,20171121,13159.00,13159.00,13159.00,13159.00,9948204,756,1,D,13103.00,13159.00
ToseAtlasMofid.ETF,20171120,13103.00,13103.00,13103.00,13103.00,13103000,1000,2,D,13096.00,13103.00
ToseAtlasMofid.ETF,20171118,13094.00,13100.00,13094.00,13096.00,24829824,1896,8,D,13088.00,13100.00
ToseAtlasMofid.ETF,20171115,13087.00,13088.00,13087.00,13088.00,26214264,2003,3,D,13038.00,13088.00
ToseAtlasMofid.ETF,20171114,13038.00,13038.00,13038.00,13038.00,6519000,500,1,D,13245.00,13038.00
ToseAtlasMofid.ETF,20171112,13240.00,13249.00,13240.00,13245.00,35099080,2650,4,D,13245.00,13249.00
ToseAtlasMofid.ETF,20171111,13245.00,13245.00,13245.00,13245.00,1986750,150,1,D,13054.00,13245.00
ToseAtlasMofid.ETF,20171108,13054.00,13054.00,13054.00,13054.00,6527000,500,1,D,13053.00,13054.00
ToseAtlasMofid.ETF,20171107,13053.00,13053.00,13053.00,13053.00,12400350,950,4,D,13009.00,13053.00
ToseAtlasMofid.ETF,20171106,13009.00,13009.00,13009.00,13009.00,70248600,5400,3,D,12878.00,13009.00
ToseAtlasMofid.ETF,20171101,12900.00,12900.00,12834.00,12878.00,193170000,15000,2,D,13103.00,12834.00
ToseAtlasMofid.ETF,20171031,13100.00,13105.00,13100.00,13103.00,19655000,1500,2,D,12984.00,13105.00
ToseAtlasMofid.ETF,20171028,12900.00,13106.00,12900.00,12984.00,46040162,3546,6,D,12692.00,13000.00
ToseAtlasMofid.ETF,20171025,12650.00,12800.00,12616.00,12692.00,70773200,5576,10,D,12602.00,12616.00
ToseAtlasMofid.ETF,20171024,12602.00,12602.00,12602.00,12602.00,1197190,95,2,D,12617.00,12602.00
